episode_id,episode_name,release_date,duration_ms,description,external_url,show_id,show_name,publisher
396g38rowHUeXPsX82MO8r,"Omesh Insecure Kalau Kentut, Takut Ada Yang Keluar Mesh? ",2025-03-13,2286048,"S13E05 Masyarakat Sehat, udah hari kamis nih saatnya Podkesmas dulu dong, dan kali ini bapak-bapak cerita kegiatan apa yang udah lama ga dilakuin nih Masyarakat Untuk masyarakat sehat yang mau liat Si EO tutor bikin pesawat kertas, langsung lihat ke youtubenya Podkesmas ya Masyarakat ",https://open.spotify.com/episode/396g38rowHUeXPsX82MO8r,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0EYwtlCuWp2kvzV1krmKQF,Showkesmas - Guru Gembul Jago Ngajar & Jago Ngeles,2025-03-10,3209151,"Bersama seorang guru yang ah kocak banget ternyata nih Masyarakat, sekocak dan seseru apa ngobrolnya? dengerin dan nonton langsung yook",https://open.spotify.com/episode/0EYwtlCuWp2kvzV1krmKQF,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
2CycnJPyz4aFwcvvARMPLZ,"Selamat, Nggok Masuk Circle Raffi Ahmad",2025-03-06,1351751,"S13E04 Masyarakat Sehat, menurut kamu siapa yang paling paham kalau soal Tennis? apakah Si EO? atau Si funky? ",https://open.spotify.com/episode/2CycnJPyz4aFwcvvARMPLZ,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0NmlNcHErHQfFdcZGXtKWX,Showkesmas - Juicy Luicy : Coba Dulu Jangan Ngeluh Mulu,2025-03-03,3230208,"Showkesmas 11Showkesmas dulu yook Masyarakat, saatnya masuk ke obrolan bapak-bapak sunda nih ges, si Mr Funky sih si paling paham banget sunda tuh, nih kita nonton dan dengerin Masyarakat",https://open.spotify.com/episode/0NmlNcHErHQfFdcZGXtKWX,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3kq40kvbOH6Nwg9bxk7xxB,"Unit Galau Darurat, LDR = Selingkuh?",2025-02-27,2138808,"S13E03 Masyarakat, siapa yang sekarang lagi jalanin LDR? atau malah punya pengalaman buruk sama LDR? saatnya UGD (Unit Galau Darurat) yang kali ini bapak-bapak ngebahas soal LDR, Sikad Masyarakat ",https://open.spotify.com/episode/3kq40kvbOH6Nwg9bxk7xxB,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
7rh6RZXohqEXqDz9F4AThi,"Showkesmas - Angga Yunanda Aktor, Angga Nggok Temennya Aktor",2025-02-24,2956565,"Saatnya Showkesmas, hari ini ada seseorang yang baru baru ini lagi diomongin nih, iyap! Angga Yunanda yang baru banget nikah, uhuuuy~ ",https://open.spotify.com/episode/7rh6RZXohqEXqDz9F4AThi,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0cjSYnskzvm15YEuXPvaJI,"Surya Omesh Paling Ke Bapak an, Darto Kebingungan ",2025-02-20,1557816,"S13E02Masyarakat Sehat, selamat hari kamis yang artinya saatnya Podkesmas, namanya juga udah bapak-bapak adanya balada yang terjadi di kehidupan rumah tanggaPompa air mati sampe tidur ketindihan anak, nih dengerin Masyarakat ",https://open.spotify.com/episode/0cjSYnskzvm15YEuXPvaJI,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
4YDfwLCFoTO1MxMgKAeOaV,Showkesmas - Ga Ada Kata Bosen Dikamus Musik Isyana Sarasvati,2025-02-17,2985856,"Showkesmas 12 Masyarakat sehat udah hari senin saatnya Showkesmas dulu dong, kali ini bareng si angle kiri mentok alias Isyana Sarasvati, langsung nonton Masyarakat",https://open.spotify.com/episode/4YDfwLCFoTO1MxMgKAeOaV,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
7LXdudOLhcTHmHNICSS5Xe,"Surya Omesh Keluar Negeri, Nggok Darto Gigit Jari",2025-02-13,1538568,"S13E01Masyarakat Sehat, udah hari kamis saatnya Podkesmas di Spotify, gimana? siapa diantara berempat ini yang liburannay paling seru Masyarakat?",https://open.spotify.com/episode/7LXdudOLhcTHmHNICSS5Xe,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3RQPE1LblWYz4rJC6ZHti3,Showkesmas - Beni Siregar Wajib Jadi Riders Laura Basuki?,2025-02-10,2986368,"Showkesmas 11 Masyarakat Sehat, gimana jalanin hari seninnya? saatnya Show show Showkesmas dulu dong, kali ini bareng Beni Siregar yang tiap 5 menit sekali suka sedih, sedih karena apa? nonton langsung Masyarakat ",https://open.spotify.com/episode/3RQPE1LblWYz4rJC6ZHti3,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3DHUEDIwvqeWD3OI1uxMzn,Showkesmas - Emang Beda! Gading Whatsapan Sama Valentino Rossi Bro!,2025-02-06,2979328,Showkesmas 10 Sebentar lagi akan hadir di season 13? tenang tungguin sambil dengerin dan nonton Showkesmas bareng Gading Masyarakat,https://open.spotify.com/episode/3DHUEDIwvqeWD3OI1uxMzn,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
5BsqtiobyRQMWNDRBrBkbT,Showkesmas - Syukuran Bareng Istri Podkesmas,2025-02-03,2948565,"Showkesmas 09 Masyarakat Sehat, sambil nunggu season 13 yang pokonya... sebentar lagi tenang aja, kali ini Showkesmas bareng sama para istri nih? yuk langsung nonton Masyarakat",https://open.spotify.com/episode/5BsqtiobyRQMWNDRBrBkbT,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0wywDs5M056h5z4VR2oYyM,Showkesmas - Oki Rengga & Darto Suka Banget Bika Ambon,2025-01-30,3171903,"Showkesmas 08 Saatnya Showkesmas dulu dong masyarakat, udah nungguin season 13? tungguin aja pokonya okeh okeh okeh funky funky selalu, sekarang bareng Oki Rengga yang isinya daging semua inih",https://open.spotify.com/episode/0wywDs5M056h5z4VR2oYyM,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0R8daVQt8gykuQ91HioWDn,Showkesmas - Siapa Yang Naro Bawang? Gita Bhebhita Bikin Kita Mewek,2025-01-27,3183146,"Showkesmas 07 Masyarakat Sehat, terbukti bapak-bapak ini cengeng yaaa, sama mimin juga cengeng kalau udah ngobrolin ibu, Gita Bhebhita emang juara banget perjuangannya, langsung dengerin & nonton Masyarakat ",https://open.spotify.com/episode/0R8daVQt8gykuQ91HioWDn,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
